number,name,n,score,cost_usd,evaluation_ids
1,GPT-6 Astra medium,60,80.63333333333334,8.867206283333333,ff095d67-1044-4d02-a126-5e6cbca8822a;ba653764-318b-4666-bd5b-2749e9a39ed8;8544fd8e-bb9b-4414-9e53-304261d3ddb7;95ee5515-c329-4a03-9c26-8c571a46339f;f1a409ce-e709-4650-9eea-39fa0b289c43
2,GPT-6 Sol medium,60,66.85,1.2027994166666667,7a2dd2fb-6b76-4498-b513-30635857ca98;77e9fdaa-d4f5-4972-bc5c-481746244d50
3,Claude Opus 5.5,60,59.4,4.214918616666667,b5647bac-aecd-4af7-85c2-e6dbeb873b21
4,GPT-6 Luna xhigh,60,57.55,0.18953225,c8c5d72a-fb50-4172-a838-c4b56a4e6a2f;05a7c06d-1d9d-4176-b6d6-f25cb62f3af3
5,Claude Fable 5.1 high,60,56.233333333333334,8.110557666666667,9e6203d1-fe81-4b3b-98c2-a4c94fcefb1e;e55ae932-75b3-41d8-abc4-b4f9ad869517;0aeacfe5-48d4-4e63-bc2c-2995548eb8cc
6,GPT-6 Luna high,60,53.95,0.1547484,60ac2602-8df2-405c-95ad-3a0b99251f5c
7,Claude Opus 5,60,50.53333333333333,7.3706738375,27f3faa2-68a4-40d4-9f33-6756f3c91e08
8,GPT-6 Luna medium,60,50.3,0.12648466666666666,c137d6cc-9350-456f-9d9a-212dff6e3ccf
9,GPT-5.6 Sol xhigh,60,49.06666666666667,7.803157195833334,caf5758b-0fef-4183-8ac8-df9f2e820497
10,DeepSeek V4.1 Flash max,60,47.88333333333333,0.26276373333333347,718ac694-c215-4f7f-9712-5468a14c79d0
11,DeepSeek V4.1 Flash high,60,41.46666666666667,0.15239166666666668,3779fbc8-7ef6-4fef-9e7a-3b53dc32c598
12,GPT-5.6 Luna xhigh,60,41.166666666666664,0.35812028433333337,d7fbccfc-03ad-428e-85c2-f280f88cc642
13,GPT-6 Luna low,60,40.68333333333334,0.018376383333333333,7e0f52fd-fe88-4f97-a950-f5f229b70ba6
14,Grok 4.7 high,60,39.93333333333333,5.724175466666667,0c3e75ea-330e-4565-bf41-b35e2d02bd3f;4a77f05a-befd-417d-980b-ad72fffb9ba9
15,GPT-5.6 Sol default,60,38.45,2.714604029166667,49ce6a8a-230b-45ee-8e5e-d9e294f5697f
16,DeepSeek V4.1 Flash low,60,38.166666666666664,0.13841965,9d7d300a-4b57-45ec-ac66-bda32d0e93b6
17,GLM 5.3 FlashX max,60,38.11666666666667,0.6281941666666667,eefab356-4813-4574-9905-6b5704ca3594
18,MiMo V2.6 Flash thinking,60,37.63333333333333,0.10040696666666665,b48cdda5-3bdf-4812-a44d-dfb8ec00dac0
19,MiMo V2.6 Pro thinking,60,37.06666666666667,0.2333482333333334,762fbf94-f1f6-4d3e-9c19-32fe9199a261
20,Kimi K3,60,36.6,4.11552724,3dcffb68-d76d-43b8-9718-107bc471cc3b
21,GPT-5.5,60,34.9,2.3631693,8fbb88f6-52a6-4627-bff4-462cff7decf3
22,Qwen3.8 Max,60,33.6,3.0273403458333337,36a84057-fe32-4aa1-91e0-72c93a4cc01e
23,Grok 4.5,60,33.03333333333333,1.15309032,28135351-86d7-434b-b499-5c73d552dfb9
24,GLM 5.3 Flash max,60,32.333333333333336,0.5433758,ac7b8b69-af4f-4e86-8242-3e36a2218115
25,GPT-6 Luna none,60,31.75,0.07684865,37895d46-294b-4d7c-be54-f0dcf6d88d8e
26,GPT-5.6 Terra,60,31.516666666666666,0.41662209,b69abf84-742f-4dfc-8ed5-f6c258f109ad
27,Grok 4.6,60,31.183333333333334,3.934024266666667,e3b8da9c-b048-40f4-92b3-af71ac3d10b9
28,DeepSeek V4.1 Flash none,60,29.05,0.11757063333333333,f24dc7be-1ec8-4f20-9450-5547a5b25bb0
29,GLM 5.3,60,28.05,2.808979114,7f91b61d-c73c-44dc-9527-f6f2c5f0aa34
30,GLM 5.3 Flash default,60,28.033333333333335,0.11415670733333333,77f4469b-9096-4f8e-b857-107aaa002419
31,GLM 5.2,60,27.9,1.48496001248,050db52c-80c1-481a-8ad5-062c501842f9
32,Claude Opus 4.8,60,27.2,4.269702254166667,ca4168f0-5b9c-40f6-a254-7b90c86f2338
33,DeepSeek V4 Pro,60,23.433333333333334,1.0064134384433334,ef5681d6-49a4-4cbb-be3b-c15ba319784d
34,DeepSeek V4 Flash 0731,60,19.633333333333333,0.14879154033333333,ba4aee72-5998-4f8f-8133-a917946f4313
35,Qwen3.8 27B,60,17.8,0.6887538908333333,d5478cfa-bedd-491a-ab60-d109278744bb
36,GPT-5.6 Luna default,60,16.05,0.05563189733333333,b46a3338-b903-4e21-86b9-32d35f70b19d
37,MiniMax M3,60,11.816666666666666,0.883116569,e654c4b8-97c1-4bed-93c3-3d0a37d56d08
38,Gemini 3.7 Flash,60,9.583333333333334,0.99757554875,1b41f5e9-8516-4dfb-8e0d-5203fb47c64b
39,Gemini 3.1 Pro,60,6.883333333333334,0.96471654,594af203-bdf1-46a3-9d3b-e342024b169b
40,Mercury 2.5 (diffusion),60,5.1,0.049479333333333334,5e41944c-8b12-4f0a-9184-7b2d96bb7c86
